序号,单词,释义
896,message,启示，要旨，教训
897,enlighten,启发，开导；启蒙
898,implore,乞求，恳求，哀求
899,knight,骑士，武士；爵士
900,subsequently,其后，其次，接着
901,marvel,奇迹；惊奇vt.惊奇
902,cheat,欺诈；骗取
903,periodical,期刊，杂志
904,currently,普遍地；当前
905,universally,普遍地，一般地
906,raisin,葡萄干
907,bushel,蒲式耳(容量单位)
908,fracture,破裂；裂痕vi.破裂
909,bankrupt,破产的vt.使破产
910,persecute,迫害，残害
911,incline,坡度
912,tack,平头打vt.钉住
913,destructive,破坏(性)的，危害的
914,flask,瓶；火药筒；砂箱
915,terrace,平台，阳台，露台
916,tranquil,平静的；稳定的
917,civilian,平民a.平民的
918,equation,平衡；平均；反应式
919,commonplace,平凡的n.平常话
920,equilibrium,平衡，均衡；均衡论
921,frequency,频繁，屡次；频率
922,bleach,漂白vi.变白
923,barren,贫瘠的；不妊的
924,float,漂浮物；浮标，木筏
925,flake,片，薄片；肌膈
926,adjacent,毗连的；紧接着的
927,deflection,偏斜，歪斜；偏差
928,cape,披肩，斗篷；海角
929,clash,碰撞声；抵触，冲突
930,prejudice,偏见，成见；损害
931,collide,碰撞；冲突，抵触
932,ingredient,配料，成分
933,shell,炮弹，猎枪子弹
934,battery,炮兵连；兵器群
935,foam,泡沫；泡沫塑料
936,limp,蹒跚，跛行n.跛行
937,bypass,旁通管vt.绕过
938,ascend,攀登，登高；追溯
939,dispatch,派遣；调度n.急件
940,stagger,蹒跚vt.使摇晃
941,hover,"徘徊；傍徨；翱翔,…"
942,range,排列；把分类
943,faction,派别，宗派，小集团
944,clap,拍手喝采声；霹雳声
945,drainage,排水；下水道
946,reptile,爬行动物；两栖动物
947,ohm,欧姆
948,hostess,女主人；旅馆女老板
949,overhear,偶然听到；偷听
950,waitress,女侍者，女服务员
951,feminine,女性的；女子气的
952,blouse,女衬衫；童衫；罩衫
953,goddess,女神；绝世美女
954,coward,懦怯的，胆小的
955,radiator,暖气片，散热器
956,strive,努力，奋斗，力求
957,mess,弄脏，弄乱，搞糟
958,distortion,弄歪，歪曲；畸变
959,Saturn,农神；土星
960,shorten,弄短，缩小，减少
961,milky,牛奶的；乳白色的
962,peer,凝视；隐约出现
963,wrench,拧，扭伤n.拧
964,nickel,镍；镍币
965,wring,拧，挤，扭，榨
966,junior,年少者；晚辈
967,annually,年年，每年
968,practicable,能实行的；适用的
969,capability,能力，才能；性能
970,basin,内海；盆地，流域
971,interior,内部a.内部的
972,tickle,挠，胳肢；逗乐
973,incredible,难以置信的，惊人的
974,difficult,难以满足的
975,refugee,难民，流亡者
976,antarctic,南极的n.南极区
977,pumpkin,南瓜，南瓜藤
978,polar,南(北)极的；极性的
979,masculine,男性的；强壮的
980,endurance,耐久力，持久力
981,baron,男爵；贵族；巨商
982,intent,目不转睛的，热切的
983,pasture,牧场；牲畜饲养
984,sodium,钠
985,end,目标，目的
986,oyster,牡蛎；沉默寡言的人
987,skyscraper,摩天楼
988,magician,魔法师；变戏法的人
989,module,模数；模；组件
990,feel,摸起来
991,ambiguous,模棱两可的；分歧的
992,destiny,命运，天数
993,doom,命运，毁灭vt.注定
994,proposition,命题，主题；提议
995,bid,命令vi.报价
996,decidedly,明确地，坚决地
997,destine,命定，注定；预定
998,formulation,明确的表达
999,explicit,明晰的；直率的
1000,classic,名著a.不朽的
1001,sensible,明显的，感觉得到的
1002,promptly,敏捷地，迅速地
1003,brightness,明亮，辉煌，聪明
1004,deposition,免职，罢免；口供
1005,sensitivity,敏感(性)；灵敏性
1006,enchant,迷住；用魔法迷惑
1007,representation,描写；陈述；代表
1008,confidential,秘密的；亲信的
1009,nursery,苗圃，养鱼池
1010,fascinate,迷住vi.迷人
1011,superstition,迷信，迷信行为
1012,perplex,迷惑，困惑，难住
1013,stray,迷路a.迷路的
1014,bewilder,迷惑，把…弄糊涂
1015,hurl,猛投vi.猛冲
1016,pore,毛孔，气孔，细孔
1017,jerk,猛地一拉vi.急拉
1018,fuss,忙乱；吹捧vi.忙乱
1019,snap,猛咬，突然折断
1020,offensive,冒犯的；进攻的
1021,ally,盟国，同盟者，伙伴
1022,cartoon,漫画，动画片
1023,threshold,门槛；入门，开端
1024,vine,蔓，藤，藤本植物
1025,charm,魅力；妩媚vi.迷人
1026,expire,满期，到期；断气
1027,fair,美丽的
1028,bull,买空的证券投机商
1029,wharf,码头，停泊所
1030,circus,马戏；马戏团
1031,ass,驴；傻瓜，蠢笨的人
1032,filter,滤过
1033,propeller,螺旋桨，推进器
1034,spiral,螺旋(形)的，盘旋的
1035,nut,螺帽，螺母
1036,oval,卵形的n.卵形
1037,Roman,罗马人，古罗马人
1038,video,录象的
1039,thesis,论题，论点；论文
1040,reed,芦笛，牧笛
1041,forum,论坛，讨论会
1042,box,专席
1043,hug,搂n.紧紧拥抱
1044,leakage,漏，泄漏；漏出物
1045,stairway,楼梯
1046,bridle,笼子；束缚vt.抑制
1047,monopoly,垄断，独占，专利
1048,exile,流放n.被流放者
1049,streamline,流线；流线型
1050,flux,流；涨潮；流量
1051,willow,柳树，柳木
1052,track,留下足迹
1053,rascal,流氓，恶棍，无赖
1054,otherwise,另外；在其他方面
1055,prevalent,流行的；盛行的
1056,gramophone,留声机
1057,province,领域，范围，职权
1058,vicinity,邻近；附近地区
1059,consul,领事
1060,grove,林子，小树林，园林
1061,retail,零售a.零售的
1062,fission,裂开；分裂生殖
1063,flexible,灵活的，可变通的
1064,prey,猎物vi.捕获
1065,inspiration,灵感；妙想；鼓舞
1066,martyr,烈士，殉难者
1067,neighbouring,邻近的，接壤的
1068,grin,咧着嘴笑
1069,expect,料想，认为
1070,blush,脸红，害臊n.脸红
1071,attachment,连接物，附件；爱慕
1072,ripple,涟漪，细浪，波纹
1073,quantitative,量的；定量的
1074,junction,连接；接头；中继线
1075,allied,联合的；联姻的
1076,mitten,连指手套；露指手套
1077,chestnut,栗子；栗树；栗色
1078,solar,利用太阳光的
1079,exceptional,例外的；优越的
1080,impose,利用；欺骗
1081,utilization,利用，效用
1082,stereo,立体声a.立体声的
1083,cubic,立方体的；立方的
1084,legislation,立法；法规
1085,historian,历史学家；编史家
1086,historic,历史的；历史性的
1087,mechanics,力学，机械学；结构
1088,intellect,理智，智力，才智
1089,ideally,理想地；理论上
1090,abstract,理论上的n.抽象
1091,slang,俚语；行话，黑话
1092,courtesy,礼貌，谦恭，请安
1093,ion,离子
1094,excursion,离题
1095,twilight,黎明，黄昏；曙光
1096,prism,棱柱(体)；棱镜
1097,grim,冷酷无情的，严厉的
1098,troublesome,累赘的，困难的
1099,similarity,类似，相似；类似点
1100,flank,肋，肋腹；侧面
1101,analogue,类似物；同源语
1102,optimism,乐观，乐观主义
1103,sophisticated,老于世故的；高级的
1104,comprehend,了解，理解，领会
1105,straightforward,老实的ad.坦率地
1106,idleness,懒惰；赋闲无事
1107,wasteful,浪费的；破坏性的
1108,flight,溃退，逃跑；外流
1109,dust,垃圾，废品，灰烬
1110,violent,狂暴的；歪曲的
1111,rapture,狂喜，欢天喜地
1112,furious,狂暴的；强烈的
1113,shabby,褴褛的；破旧的
1114,satisfaction,快事，乐事；愉快
1115,fury,狂怒，暴怒；猛烈
1116,rapidity,快，迅速；陡，险峻
1117,snack,快餐，小吃
1118,pants,裤子；男用短衬裤
1119,bitterness,苦味，辛酸，苦难
1120,wither,枯萎vt.使衰弱
1121,parade,夸耀(才能等)
1122,fastener,扣件，钮扣，揿钮
1123,clasp,扣住，扣紧，钩住
1124,stammer,口吃地说n.口吃
1125,panic,恐慌，惊慌
1126,spatial,空间的，占据空间的
1127,terrorist,恐怖分子
1128,suspicious,可疑的；猜疑的
1129,fantastic,空想的；奇异的
1130,shady,可疑的，靠不住的
1131,pneumatic,空气的；气动的
1132,questionable,可疑的，不可靠的
1133,aerial,空气的；航空的
1134,gnaw,啃，咬断vi.啮
1135,peacock,孔雀
1136,portable,可移动的
1137,void,空的；无效的
1138,adjustable,可调整的，可校准的
1139,longing,渴望a.显示渴望的
1140,frightful,可怕的；讨厌的
1141,grateful,可喜的，令人愉快的
1142,formidable,可怕的；难对付的
1143,dreadful,可怕的；令人敬畏的
1144,likelihood,可能(性)
1145,possibility,可能的事
1146,particular,苛求的；特称的
1147,monstrous,可怕的；极大的
1148,appreciable,可估价的；可察觉的
1149,respectable,可敬的；人格高尚的
1150,whereby,靠什么；靠那个
1151,shameful,可耻的；不道德的
1152,ponder,考虑vi.沉思
1153,comparable,可比较的；类似的
1154,exploration,考察；勘探；探查
1155,discern,看出，辨出；辨别
1156,inaugurate,开始；使就职
1157,generosity,慷慨，宽宏大量
1158,initiate,开始，创始；启蒙
1159,fell,砍倒(树等)；砍伐
1160,commence,开始vi.获得学位
1161,carry,刊登
1162,reclaim,开垦，开拓；回收
1163,evolution,开方；(天体的)形成
1164,unlock,开…的锁；开启
1165,start,开动，着手；开设
1166,sheriff,郡长；警察局长
1167,sovereign,君主a.统治的
1168,reel,卷，绕
1169,monarch,君主，最高统治者
1170,mob,聚众闹事
1171,bugle,军号，喇叭
1172,decisive,决定性的；果断的
1173,extinct,绝种的；熄灭了的
1174,polymer,聚合物，多聚物
1175,govern,决定，支配；控制
1176,hurricane,飓风，十二级风
1177,winding,卷绕着的线a.卷曲的
1178,sting,剧痛；刺激vt.刺
1179,curly,卷曲的；有卷毛的
1180,gigantic,巨大的；巨人似的
1181,repel,拒绝；使厌恶
1182,uphold,举起；支撑；赞成
1183,exemplify,举例证明(解释)
1184,rectangle,矩形，长方形
1185,reside,居住，驻扎；属于
1186,administration,局(或署、处等)
1187,induction,就职；归纳推理
1188,Christ,救世主(耶稣基督)
1189,secondhand,"旧的，,第二手的"
1190,dwell,居住vi.凝思，细想
1191,symposium,酒会；座谈会
1192,whoever,究竟是谁
1193,rectify,纠正；调整；精馏
1194,vein,静脉，血管，矿脉
1195,competitor,竞争者，敌手
1196,competitive,竞争的，比赛的
1197,contend,竞争vt.坚决主张
1198,alert,警惕的；活跃的
1199,warning,警告，告诫，鉴诫
1200,whale,鲸；庞然大物
1201,selection,精选的东西；选择
1202,literary,精通文学的
1203,thorough,精心的；详尽的
1204,refinery,精炼厂，提炼厂
1205,finely,精细地，美好地
1206,vigorous,精力旺盛的，茁壮的
1207,fright,惊吓，恐怖
1208,dismay,惊慌，沮丧，灰心
1209,astonishment,惊奇，惊讶
1210,empirical,经验主义的
1211,support,经受，承受，忍受
1212,longitude,经线，经度
1213,economics,经济学；经济
1214,notwithstanding,尽管，虽然
1215,prohibition,禁止；禁令，禁律
1216,perfection,尽善尽美；无比精确
1217,shortcut,近路，捷径
1218,prudent,谨慎的；精明的
1219,inlet,进口，水湾vt.引进
1220,compact,紧密的vt.使紧凑
1221,tightly,紧地，牢固地
1222,barely,仅仅，勉强
1223,metallic,金属的n.金属粒子
1224,interpret,解释vi.口译
1225,tuna,金枪鱼
1226,untie,解开，松开；解放
1227,henceforth,今后，从今以后
1228,tackle,解决，对付n.用具
1229,presentation,介绍；赠送；呈现
1230,dissolve,解除(婚约等)
1231,mustard,芥子，芥末
1232,tuberculosis,结核病，肺结核
1233,version,解释
1234,incorporate,结合，合并，收编
1235,construction,结构；作图(法)
1236,yeast,酵母
1237,abbreviation,节略，缩写，缩短
1238,tutor,教，指导
1239,thrifty,节俭的；兴旺的
1240,disillusion,觉醒vt.使觉醒
1241,economically,节约地，在经济上
1242,horn,角状物，角制品
1243,interview,接见，会见，会谈
1244,reef,礁，礁石，暗礁
1245,receiver,接待者；收受者
1246,coke,焦炭vt.&vi.炼焦
1247,doctrine,教义，主义；学说
1248,intercourse,交际，往来，交流
1249,symphony,交响乐；交响乐团
1250,degradation,降级；退化；衰变
1251,soy,酱油；大豆，黄豆
1252,parachute,降落伞；风散种子
1253,oar,桨；划手vi.划(行)
1254,discourse,讲话，演说，讲道
1255,ginger,姜，生姜
1256,inspector,检查员；巡官
1257,architect,建筑师；创造者
1258,reserve,缄默，自我克制
1259,splash,溅泼vi.泼水n.溅
1260,challenge,艰巨任务；要求回避
1261,clip,剪；剪辑报刊
1262,enterprise,艰巨的事业；事业心
1263,theory,见解，看法，推测
1264,firmness,坚固，坚定，稳固
1265,diminish,减少，减小，递减
1266,resolute,坚决的，果敢的
1267,lessen,减少vi.变少
1268,sturdy,坚定的；牢固的
1269,steady,坚定的，扎实的
1270,stability,坚定
1271,persistence,坚持；持续，存留
1272,shrill,尖声的vt.尖声地叫
1273,persevere,坚持，不屈不挠
1274,hypothesis,假设；前提
1275,bridge,架桥于，用桥连接
1276,insistent,坚持的；逼人注意的
1277,rate,价格vt.对评定
1278,sham,假冒；膺品vt.假装
1279,clamp,夹住，夹紧n.夹子
1280,presume,假定，假设，揣测
1281,fake,假货，膺品a.假的
1282,beetle,甲虫；近视眼的人
1283,clip,夹住n.夹子，钳子
1284,heater,加热的人，加热器
1285,sandwich,夹入，挤进
1286,deepen,加浓
1287,homely,家庭的；家常的
1288,heighten,加高，提高；增加
1289,fowl,家禽；禽肉
1290,line,加衬里于
1291,poultry,家禽
1292,stillness,寂静，无声
1293,lodging,寄宿，住宿；住所
1294,succession,继承(权)，后裔
1295,successor,继承人，继任者
1296,craft,技巧
1297,quarterly,季度的ad.季度地
1298,souvenir,纪念品，黄豆
1299,documentary,纪录的，文献的
1300,disorder,疾病，小病
1301,scheme,计划vi.搞阴谋
1302,complaint,疾病，病痛；主诉
1303,marginal,记在页边的；边缘的
1304,forthcoming,即将到来的；现有的
1305,terminal,计算机终端；线接头
1306,extreme,极端不同的性质
1307,geometrical,几何学的
1308,polarity,极性；(思想等)归向
1309,bazaar,集市，廉价商店
1310,guitar,吉他，六弦琴
1311,gathering,集会，聚会，聚集
1312,irritate,激怒；引起不愉快
1313,set,集(合)
1314,timely,及时的；适时的
1315,drastic,激烈的；严厉的
1316,radical,基本的；激进的
1317,Christian,基督教的
1318,energetic,积极的；精力旺盛的
1319,elemental,基本的；自然力的
1320,mechanism,机械装置；机制
1321,severe,激烈的；简朴的
1322,dynamical,机能上的
1323,ultimate,基本的，首要的
1324,witty,机智的；风趣的
1325,muscular,肌肉发达的，强健的
1326,fence,击剑(术)vi.击剑
1327,ingenious,机灵的；精巧制成的
1328,fellowship,伙伴关系；联谊会
1329,ingenuity,机灵；设计新颖
1330,ham,火腿；(兽类的)后踝
1331,framework,机构，组织，体制
1332,Mars,火星；战争
1333,stall,货摊，书摊；厩
1334,piston,活塞
1335,tact,机敏，圆滑，得体
1336,vigour,活力，精力；元气
1337,mixer,混合者，搅拌器
1338,bribe,贿赂vt.向…行贿
1339,engagement,婚约；约会，债务
1340,response,回音，回签；灵敏度
1341,cloudy,混浊的；模糊不清的
1342,wield,挥(剑)；行使
1343,badge,徽章，像章；标志
1344,modification,缓和；修改；修饰
1345,corrupt,贿赂a.腐败的
1346,environmental,环境的，环境产生的
1347,locust,蝗虫；洋槐，刺槐
1348,fossil,化石a.化石的
1349,wasp,黄蜂，蚂蜂
1350,pregnant,怀孕的；意义深长的
1351,desolate,荒芜的；孤独的
1352,glider,滑翔机；滑翔导弹
1353,royalty,皇家，王族，皇族
1354,slide,滑板，滑座
1355,illusion,幻想；错觉；假象
1356,pulley,滑轮，滑车，皮带轮
1357,correlate,互相关联的事物
1358,ruby,红宝石
1359,granite,花岗岩，花岗石
1360,outcome,后果，成果
1361,walnut,胡桃，核桃树
1362,hit,轰动一时的人(或事)
1363,arc,弧，弓形物；弧光
1364,transverse,横切的n.横轴
1365,exclamation,呼喊，惊叫；感叹
1366,traverse,横越，横切，横断
1367,harmonious,和谐的，协调的
1368,monk,和尚，僧侣，修道士
1369,bed,河床，(湖)底，矿床
1370,synthesis,合成；综合，综合物
1371,cooperative,合作的n.合作社
1372,applause,喝彩；夸奖，称赞
1373,hinge,合页，折叶，铰链
1374,applaud,喝彩；欢呼vi.欢呼
1375,proper,合乎体统的，正派的
1376,pal,好朋友；同谋
1377,composite,合成的n.合成物
1378,romantic,好幻想的
1379,hospitality,好客，殷勤；宜人
1380,howl,嚎叫；哀号vi.吠
1381,hurrah,好哇，万岁，乌拉
1382,log,航海日志；飞行日志
1383,aerospace,航空和宇宙航行空间
1384,pedestrian,行人，步行者
1385,hesitate,含糊，支吾；口吃
1386,move,行动，步骤
1387,pest,害虫；害人虫
1388,turtle,海龟，玳瑁；甲鱼肉
1389,strait,海峡
1390,seaport,海港，港口，港市
1391,custom,海关，关税
1392,surplus,过剩，剩余(物资)
1393,cable,海底电报
1394,excess,过度行为，暴行
1395,overestimate,过高估计
1396,orchard,果园
1397,pirate,海盗；每盗船
1398,peel,果皮，蔬菜皮
1399,seaside,海滨(胜地)；海边
1400,stone,果核，(水果的)硬核
1401,excessively,过分，极端地
1402,slap,掴，拍n.巴掌，拍
1403,boiler,锅炉；热水贮槽
1404,define,规定；立(界限)
1405,inland,国内的；内地的
1406,regulation,规章，规则；调节
1407,salmon,鲑，大马哈鱼
1408,provision,规定，条款，条项
1409,roller,滚柱，滚筒，辊
1410,replacement,归还；取代；置换
1411,valuable,贵重物品，财宝
1412,spacious,广阔的，广大的
1413,silicon,硅(旧名矽)
1414,radial,光线的；放射的
1415,regularity,规则性；整齐
1416,amplitude,广大；充足；振幅
1417,photoelectric,光电的
1418,orchestra,管弦乐队的全部乐器
1419,optical,光的；光学的
1420,blast,管乐器的声音
1421,shrub,灌木，灌木丛
1422,pipe,管乐器
1423,irrigation,灌溉；冲洗法
1424,coffin,棺材，柩
1425,inertia,惯性，惯量；无力
1426,bureaucracy,官僚主义；官僚机构
1427,monster,怪物；畸形的动植物
1428,obstinate,固执的；顽强的
1429,client,顾客；诉讼委托人
1430,inherent,固有的，生来的
1431,fixture,固定；定期存款
1432,pluck,鼓起(勇气)，振作
1433,agitation,鼓动，煸动；搅动
1434,antique,古代的n.古物
1435,skeleton,骨骼，骷髅；骨架
1436,thigh,股，大腿
1437,constitute,构成，组成
1438,cereal,谷类，五谷，禾谷
1439,assessment,估定；查定；估计数
1440,hound,狗；角鲨；卑鄙的人
1441,tribute,贡物；献礼，贡献
1442,gutter,沟，边沟；檐槽
1443,number,共计，达…之数
1444,arch,拱门vt.用拱连接
1445,commonwealth,共和国；联邦
1446,impartial,公正的，无偏见的
1447,vault,拱顶；地下室，地窖
1448,duke,公爵，君主；手
1449,consolidate,巩固vi.合并
1450,rooster,公鸡；狂妄自负的人
1451,mercury,汞，水银；水银柱
1452,studio,工作室；播音室
1453,convention,公约，(换俘等)协定
1454,implement,工具，服装vt.贯彻
1455,earnings,工资，收入；收益
1456,combat,跟…战斗vi.格斗
1457,impart,给予，传递；告诉
1458,workpiece,工(作)件
1459,energize,给与…能量；电压
1460,reveal,告诉，揭示，泄露
1461,flavour,给…调味
1462,dove,鸽子，斑鸠
1463,insulator,隔离者；绝缘体
1464,plateau,高原；平稳时期
1465,vaccinate,给…种牛痘
1466,tower,高耸，屹立；翱翔
1467,elevation,高度；标高；隆肿
1468,lofty,高耸的；高尚的
1469,intervene,干涉，干预；播进
1470,lattice,格子；点阵，网络
1471,olive,橄榄，橄榄树
1472,dry,干巴巴的，枯燥的
1473,perception,感觉；概念；理解力
1474,Thanksgiving,感恩节
1475,sentiment,感情；情操；情绪
1476,sensation,感觉，知觉；轰动
1477,outline,概述，概括
1478,conception,概念，观念，想法
1479,notion,概念，意念；看法
1480,chill,感到寒冷；冷淬
1481,summary,概括的；速决的
1482,generalize,概括出vi.形成概念
1483,mend,改正，修正；改进
1484,impress,盖印，在…打记号
1485,byproduct,副产品
1486,complication,复杂，混乱；并发症
1487,duplicate,复制品vt.复制
1488,satellite,附属物
1489,complexity,复杂(性)
1490,appendix,附录，附属物；阑尾
1491,extra,附加物；额外的人手
1492,emerge,浮现，出现；显露
1493,charge,负荷；充电vt.装满
1494,coach,辅导，指导，训练
1495,incidentally,附带地；顺便提及
1496,obedience,服从，顺从；管辖
1497,negative,负的，阴性的
1498,maintenance,扶养；坚持
1499,corrosion,腐蚀，侵蚀；锈
1500,veto,否决，否决权，禁止
1501,erosion,腐蚀，侵蚀；糜烂
1502,denial,否定；拒绝相信
1503,subsidiary,辅助的，补充的
1504,Buddhism,佛教，释教
1505,answer,符合，适合
1506,dedicate,奉献；献身
1507,obedient,服从的，顺从的
1508,pineapple,凤梨，波萝
1509,flatter,奉承，阿谀，谄媚
1510,seam,缝口；接缝；骨缝
1511,landscape,风景，景色，景致
1512,windmill,风车
1513,abundance,丰富，充裕
1514,indignation,愤怒，愤慨，义愤
1515,plump,丰满的；鼓起的
1516,molecular,分子的；克分子的
1517,shatter,粉碎，破碎；毁坏
1518,limb,分支，突出物
1519,offset,分支，抵销vt.抵销
1520,fraction,分数；分馏的部分
1521,analytical,分析的；分解的
1522,distract,分散(心思)；打扰
1523,installment,分期付款
1524,split,分裂，分化；派系
1525,detach,分开；派遣(军队)
1526,interface,分界面
1527,partition,分开，分割；融墙
1528,relay,分程传递；使接替
1529,diverge,分岔；分歧
1530,litter,废物，杂乱vi.乱扔
1531,abolish,废除，取消
1532,gangster,匪徒，歹徒，暴徒
1533,fly,飞跑，逃跑，消失
1534,indulge,放纵(感情)vi.纵情
1535,herd,放牧vi.成群
1536,extraordinarily,非常地，特别地
1537,aviation,飞行
1538,pattern,仿制，仿造，模仿
1539,imitation,仿制品，伪制物
1540,reproduce,仿造
1541,magnify,放大，扩大
1542,handicap,妨碍，使不利
1543,hamper,妨碍，阻碍，牵制
1544,estate,房地产；财产，产业
1545,handy,方便的；便于使用的
1546,reactor,反应器；反应堆
1547,blunder,犯大错n.大错
1548,mirror,反映，借鉴
1549,offence,犯罪，犯规；冒犯
1550,echo,反射(声音等)
1551,contrary,反对命题
1552,contradict,反驳，否认
1553,propagation,繁殖；传播；蔓延
1554,propagate,繁殖；传播，普及
1555,decree,法令，政令；教令
1556,toss,翻来复去
1557,flannel,法兰绒；法兰绒衣服
1558,valve,阀，阀门；电子管
1559,originate,发源vt.首创
1560,spokesman,发言人，代言人
1561,outlet,发泄(感情等)的方法
1562,incidence,发生，影响；入射
1563,generate,发生，产生；生成
1564,flame,发火焰vt.点燃
1565,invoice,发票，发货清单
1566,detector,发觉者，探测器
1567,luminous,发光的；光明的
1568,exert,发挥(威力)，施加
1569,beam,发光，发热；微笑
1570,motive,发动的，运动的
1571,dynamo,发电机
1572,rattle,发出格格声
1573,dioxide,二氧化物
1574,offspring,儿女，子孙，后代
1575,bait,饵；引诱物
1576,youngster,儿童，少年，年轻人
1577,whereas,而，却，反之
1578,malice,恶意；蓄意犯罪
1579,subsequent,尔后的
1580,nightmare,恶梦；经常的恐惧
1581,spite,恶意，怨恨
1582,yoke,轭，牛轭；枷锁
1583,deprive,夺去；使(人)失去
1584,mountainous,多山的；山一般的
1585,windy,多风的，刮风的
1586,versatile,多方面的；通用的
1587,stew,炖vi.炖着n.炖肉
1588,mop,墩布，洗碗刷
1589,halve,对分；平摊
1590,provoke,对…挑衅；激发
1591,symmetry,对称(性)，匀称
1592,symmetrical,对称的，匀称的
1593,resent,对不满，怨恨
1594,assert,断言，宣称；维护
1595,affirm,断言，批准；证实
1596,shortage,短缺，不足额
1597,alignment,队列；结盟，联合
1598,jealousy,妒忌，嫉妒，猜忌
1599,cuckoo,杜鹃，布谷鸟
1600,gamble,赌博vt.冒…的险
1601,jam,堵塞vt.使…堵塞
1602,ferry,渡船；渡口vt.运送
1603,solo,独唱，独奏；独唱曲
1604,linger,逗留，徘徊；拖延
1605,distinct,独特的
1606,dictator,独裁者，专政者
1607,fighter,斗争者；战斗机
1608,champion,斗士；提倡者
1609,insight,洞察力，洞悉，见识
1610,jelly,冻，果子冻；胶状物
1611,tease,逗乐，戏弄；强求
1612,cavity,洞，穴，空腔
1613,grease,动物脂，脂肪
1614,disturbance,动乱；干扰；侵犯
1615,mobilize,动员vi.动员起来
1616,kinetic,动力(学)的；活动的
1617,location,定位，测位；测量
1618,theorem,定理；原理，原则
1619,subscribe,订购，认购；预订
1620,orient,东方；亚洲，远东
1621,summit,顶点，最高点；极度
1622,pressure,电压；大气压力
1623,sculpture,雕刻(术)；雕刻品
1624,capacitance,电容，电容量
1625,electronics,电子学
1626,electrode,电极；电焊条
1627,capacitor,电容器
1628,electrician,电工，电气技师
1629,telex,"电传，用户电报,first-"
1630,rate,第一流的，优秀的
1631,kindle,点燃vi.着火
1632,basement,地下室；地窖；底层
1633,geology,地质学；(某地)地质
1634,mortgage,抵押vt.抵押
1635,geographical,地理的；地区(性)的
1636,hostile,敌对的；不友好的
1637,magistrate,地方行政长官
1638,underestimate,低估，看轻
1639,whisper,低声地讲，私下说
1640,murmur,低沉连续的声音
1641,enroll,登记，招收vi.参军
1642,burner,灯头，煤气头
1643,equivalent,等面(体)积的
1644,morality,道德，美德，品行
1645,clatter,得得声，卡嗒声
1646,triumphant,得胜的；得意洋洋的
1647,theft,盗窃，偷窃(行为)
1648,attendance,到场；出席人数
1649,between,当中，中间
1650,cartridge,弹药筒，子弹；软片
1651,yolk,蛋黄，卵黄
1652,detain,耽搁；扣押，拘留
1653,algebra,代数学
1654,simplicity,单纯，质朴
1655,fill,担任(职务)；填补
1656,attorney,代理人；辩护律师
1657,simple,单纯的；迟钝的
1658,deputy,代理人a.副的
1659,jug,带柄水罐，大壶
1660,delegate,代表，委员，特派员
1661,representative,代表性的；代议制的
1662,massacre,大屠杀，残杀
1663,gorilla,大猩猩；暴徒，打手
1664,embassy,大使馆；大使的职务
1665,magnitude,大小；重大；星等
1666,ambassador,大使，使节
1667,stride,大踏步走n.大步
1668,mansion,大厦，大楼；宅第
1669,continental,大陆的，大陆性的
1670,multitude,大批，大群；大量
1671,barley,大麦
1672,infinity,大量，大宗；无穷大
1673,steak,大块牛肉；牛排
1674,butt,大酒桶，桶
1675,largely,大规模地
1676,prairie,大草原，牧场
1677,widely,大大地
1678,smash,打碎，打破，粉碎
1679,sneeze,打喷嚏
1680,lighter,打火机，引燃器
1681,snore,打鼾，打呼噜
1682,thresh,打谷，脱粒；推敲
1683,forge,打(铁等)，锻造
1684,passport,达到目的的手段
1685,inaccessible,达不到的，难接近的
1686,latent,存在但看不见的
1687,frustrate,挫败；使无效
1688,frail,脆弱的；意志薄弱的
1689,fragile,脆的；体质弱的
1690,catalyst,催化剂；刺激因素
1691,crisp,脆的；卷曲的
1692,promotion,促进；提升；创立
1693,reckless,粗心大意的；鲁莽的
1694,follow,从事(职业)，经营
1695,vulgar,粗俗的，庸俗的
1696,overflow,从…中溢出
1697,massive,粗大的；大而重的
1698,smart,刺疼，扎疼，剧痛
1699,harsh,粗糙的；严厉的
1700,thereafter,此后，以后
1701,jungle,丛林，密林，莽丛
1702,prick,刺(穿)n.刺孔
1703,porcelain,瓷a.瓷的，瓷制的
1704,initial,词首的
1705,magnetism,磁；魅力；催眠术
1706,glossary,词汇表；术语汇编
1707,vocabulary,词汇表，词汇汇编
1708,sheer,纯粹的；全然的
1709,stem,词干；(手表的)转柄
1710,perpendicular,垂直的
1711,poke,戳，刺；伸(头等)
1712,author,创造者，创始人
1713,lipstick,唇膏，口红
1714,innovation,创新，改革，新设施
1715,stainless,纯洁的；不锈的
1716,initiative,创始的n.第一步
1717,puff,喘气vt.喷(烟等)
1718,infectious,传染的；感染性的
1719,shipwreck,船舶失事
1720,romance,传奇；浪漫文学
1721,report,传说，议论
1722,herald,传令官；通报者
1723,circular,传单，通报，通函
1724,leaflet,传单，活页；广告
1725,sensor,传感器，灵敏元件
1726,missionary,传教士
1727,convey,传达；传播；转让
1728,pierce,穿透，戳穿，洞察
1729,penetration,穿入；渗透，侵入
1730,antenna,触角；天线
1731,penalty,处罚，刑罚；罚款
1732,transaction,处理；交易；和解
1733,virgin,处女a.处女的
1734,exclusive,除外的；孤傲的
1735,notorious,臭名昭著的
